"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","996.3","...","999.2","2023-06-01 22:01","994.4","2023-06-01 04:21","25.7","27.9","2023-06-01 13:21","24.4","2023-06-01 04:14","...","90","80","2023-06-01 13:44","0.3","4","7.1","273","2023-06-01 12:53","6.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1001.1","...","1004.9","2023-06-02 22:16","998.4","2023-06-02 03:21","28.2","33.7","2023-06-02 14:01","24.0","2023-06-02 05:11","...","80","56","2023-06-02 13:47","0.6","62","9.3","76","2023-06-02 19:03","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1005.1","...","1007.1","2023-06-03 22:12","1002.9","2023-06-03 02:41","28.2","33.8","2023-06-03 11:01","25.1","2023-06-03 05:11","...","79","55","2023-06-03 10:51","1.3","58","9.9","65","2023-06-03 11:54","4.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1005.9","...","1007.5","2023-06-04 22:31","1004.3","2023-06-04 15:01","27.0","32.0","2023-06-04 10:51","23.4","2023-06-04 23:59","...","86","64","2023-06-04 10:51","0.6","37","5.5","100","2023-06-04 00:03","91.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1005.2","...","1007.4","2023-06-05 00:09","1003.5","2023-06-05 16:22","27.7","33.2","2023-06-05 13:11","23.3","2023-06-05 00:11","...","84","61","2023-06-05 13:15","0.3","81","4.9","87","2023-06-05 16:15","7.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1004.8","...","1007.1","2023-06-06 22:51","1003.4","2023-06-06 15:11","28.3","34.2","2023-06-06 13:03","24.4","2023-06-06 05:21","...","79","51","2023-06-06 11:02","0.4","210","5.5","330","2023-06-06 10:43","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1005.8","...","1006.9","2023-06-07 00:03","1004.5","2023-06-07 17:21","27.7","34.7","2023-06-07 11:21","24.4","2023-06-07 05:11","...","84","52","2023-06-07 11:22","0.6","51","7.7","82","2023-06-07 14:46","1.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1003.6","...","1006.3","2023-06-08 00:01","1001.6","2023-06-08 15:52","29.0","33.7","2023-06-08 12:11","25.2","2023-06-08 05:31","...","79","55","2023-06-08 11:16","0.6","45","5.5","49","2023-06-08 14:05","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1001.3","...","1002.9","2023-06-09 00:01","999.8","2023-06-09 14:53","26.5","31.9","2023-06-09 10:32","24.9","2023-06-09 04:23","...","90","68","2023-06-09 10:32","0.6","52","6.0","60","2023-06-09 13:26","40.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","999.1","...","1001.0","2023-06-10 00:02","997.7","2023-06-10 14:41","25.6","31.0","2023-06-10 11:34","23.8","2023-06-10 23:12","...","91","67","2023-06-10 11:41","0.4","12","7.7","218","2023-06-10 16:00","53.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"11","998.9","...","1000.1","2023-06-11 21:51","997.5","2023-06-11 02:21","25.4","28.1","2023-06-11 13:21","23.2","2023-06-11 03:01","...","92","81","2023-06-11 14:35","0.2","0","3.5","56","2023-06-11 15:56","4.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"12","999.4","...","1000.9","2023-06-12 08:51","998.4","2023-06-12 14:24","25.5","29.0","2023-06-12 13:11","23.6","2023-06-12 23:55","...","84","68","2023-06-12 13:01","0.9","80","6.6","54","2023-06-12 10:09","0.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"13","998.6","...","1000.7","2023-06-13 22:11","997.4","2023-06-13 14:11","26.4","31.0","2023-06-13 12:11","22.0","2023-06-13 05:31","...","77","55","2023-06-13 11:41","1.5","55","7.7","49","2023-06-13 16:26","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"14","1001.3","...","1004.7","2023-06-14 21:51","998.4","2023-06-14 02:51","26.3","31.4","2023-06-14 10:41","23.8","2023-06-14 03:51","...","83","63","2023-06-14 10:41","0.9","82","7.1","89","2023-06-14 11:27","1.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"15","1004.9","...","1006.8","2023-06-15 20:52","1003.4","2023-06-15 00:03","24.5","27.2","2023-06-15 12:52","23.0","2023-06-15 02:11","...","89","76","2023-06-15 13:03","1.1","49","7.7","80","2023-06-15 16:58","22.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"16","1005.7","...","1007.8","2023-06-16 22:21","1004.3","2023-06-16 04:21","25.7","31.4","2023-06-16 11:51","23.8","2023-06-16 00:31","...","91","69","2023-06-16 12:23","0.3","74","7.1","59","2023-06-16 13:32","40.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"17","1007.1","...","1008.6","2023-06-17 10:21","1005.7","2023-06-17 02:41","26.4","30.8","2023-06-17 14:51","24.2","2023-06-17 05:01","...","93","74","2023-06-17 14:57","0.0","0","2.2","96","2023-06-17 04:18","0.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"18","1005.3","...","1007.5","2023-06-18 00:02","1003.0","2023-06-18 16:12","28.6","32.9","2023-06-18 15:04","24.9","2023-06-18 05:11","...","81","64","2023-06-18 14:02","0.3","52","7.7","214","2023-06-18 10:58","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"19","1002.6","...","1004.8","2023-06-19 08:01","1000.4","2023-06-19 15:52","28.7","33.9","2023-06-19 13:18","24.6","2023-06-19 05:01","...","79","56","2023-06-19 13:21","0.2","0","6.0","268","2023-06-19 14:20","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"20","1001.7","...","1003.2","2023-06-20 22:01","1000.3","2023-06-20 16:04","30.0","36.2","2023-06-20 12:38","24.6","2023-06-20 05:11","...","74","49","2023-06-20 12:11","0.4","172","7.1","334","2023-06-20 14:03","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"21","1002.4","...","1004.3","2023-06-21 22:44","1000.4","2023-06-21 15:43","30.1","35.3","2023-06-21 14:31","25.2","2023-06-21 05:11","...","75","54","2023-06-21 12:21","0.4","103","6.0","282","2023-06-21 13:12","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"22","1003.5","...","1005.3","2023-06-22 22:21","1002.4","2023-06-22 15:31","29.3","33.9","2023-06-22 10:21","26.1","2023-06-22 05:11","...","78","53","2023-06-22 10:21","0.3","16","5.5","194","2023-06-22 09:25","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"23","1004.8","...","1006.5","2023-06-23 20:12","1003.1","2023-06-23 01:41","27.3","33.4","2023-06-23 11:21","24.7","2023-06-23 17:01","...","87","55","2023-06-23 10:52","0.6","82","7.1","34","2023-06-23 13:00","64.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"24","1005.5","...","1008.6","2023-06-24 21:41","1003.1","2023-06-24 14:31","27.4","33.5","2023-06-24 13:51","23.7","2023-06-24 05:31","...","84","56","2023-06-24 13:31","0.5","78","6.6","201","2023-06-24 16:09","11.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"25","1006.1","...","1007.6","2023-06-25 21:41","1004.3","2023-06-25 16:21","28.5","33.6","2023-06-25 12:11","23.9","2023-06-25 04:51","...","79","54","2023-06-25 11:24","0.4","54","5.5","99","2023-06-25 14:56","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"26","1006.0","...","1008.0","2023-06-26 22:11","1003.5","2023-06-26 15:31","29.1","34.2","2023-06-26 14:01","24.7","2023-06-26 03:32","...","77","57","2023-06-26 10:41","0.7","74","7.1","90","2023-06-26 12:31","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"27","1006.9","...","1008.9","2023-06-27 21:11","1005.6","2023-06-27 15:11","28.8","33.4","2023-06-27 13:32","24.6","2023-06-27 05:21","...","74","54","2023-06-27 13:32","0.9","13","8.2","44","2023-06-27 10:15","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
